                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 3.3895,                  3.881,                   3.08,                 2.9937,                 4.4114,                 2.5708,                0.00108,                0.14936,                0.00324,                0.00078,                 3.3285,                 4.0157,                 3.1147,                 2.9584,                 4.6891,                 2.7206,               0.007228,               0.007228,               0.007228
                     31,                 3.3561,                  3.887,                 2.9905,                 2.8895,                 4.4313,                 2.5167,                0.00043,                0.06381,                 0.0006,                0.00016,                  3.478,                 4.8336,                 3.6057,                 3.1549,                 5.6829,                 3.4002,               0.007129,               0.007129,               0.007129
                     32,                 3.3309,                 3.9771,                  2.949,                 2.8591,                 4.3223,                 2.4428,                0.00046,                0.07569,                0.00102,                0.00023,                 3.4745,                  4.784,                 3.6038,                 3.1347,                 5.5647,                 3.3747,                0.00703,                0.00703,                0.00703
                     33,                 3.1832,                 3.8888,                 2.8634,                 2.8415,                 4.3652,                 2.4634,                0.00098,                0.14075,                0.00246,                0.00056,                 3.3163,                 4.1183,                 3.1527,                  2.921,                  4.832,                 2.7924,               0.006931,               0.006931,               0.006931
                     34,                 3.2624,                 3.7941,                 2.9333,                 2.8249,                 4.3182,                 2.4591,                0.00086,                0.13191,                0.00234,                0.00052,                 3.3054,                 4.2075,                 3.1597,                  2.921,                 4.8544,                 2.7795,               0.006832,               0.006832,               0.006832
                     35,                 3.2012,                 3.7924,                 2.9024,                 2.8543,                 4.2912,                 2.4504,                0.00109,                0.16536,                0.00474,                0.00113,                  3.232,                  3.979,                 3.0412,                 2.9034,                 4.6265,                 2.6566,               0.006733,               0.006733,               0.006733
                     36,                 3.2057,                 3.7875,                 2.8777,                 2.8015,                 4.3301,                  2.438,                0.00112,                0.16557,                0.00464,                0.00112,                 3.2861,                 3.9531,                 3.0618,                 2.9162,                 4.6373,                 2.7254,               0.006634,               0.006634,               0.006634
                     37,                 3.2555,                  3.799,                  2.909,                 2.8343,                 4.3293,                 2.4383,                0.00112,                0.16704,                0.00621,                0.00152,                 3.2847,                 3.9375,                 3.0734,                 2.9269,                 4.6003,                 2.7233,               0.006535,               0.006535,               0.006535
                     38,                 3.2682,                 3.8859,                 2.9054,                 2.7867,                  4.268,                 2.3847,                0.00115,                0.16704,                0.00576,                0.00134,                 3.2716,                 3.9736,                 3.0438,                 2.9094,                 4.6367,                 2.6592,               0.006436,               0.006436,               0.006436
                     39,                 3.1524,                 3.7425,                 2.8554,                 2.8103,                 4.2618,                 2.3832,                0.00122,                0.16816,                0.00536,                0.00122,                  3.229,                 4.0374,                 3.0373,                 2.8798,                 4.6314,                 2.6242,               0.006337,               0.006337,               0.006337
                     40,                 3.1542,                 3.7935,                 2.8417,                 2.7745,                 4.2527,                 2.3598,                0.00122,                0.16361,                0.00634,                0.00148,                 3.2435,                 4.0435,                 3.0149,                 2.8769,                 4.6443,                 2.5586,               0.006238,               0.006238,               0.006238
                     41,                 3.1382,                 3.7234,                 2.8079,                 2.8176,                 4.1943,                 2.3042,                0.12716,                0.10948,                0.00649,                0.00144,                 3.2332,                  3.991,                 2.9982,                 2.8543,                 4.6015,                 2.5409,               0.006139,               0.006139,               0.006139
                     42,                 3.0665,                 3.7747,                 2.7849,                 2.7848,                 4.2798,                 2.3248,                0.38854,                0.02223,                0.00957,                0.00199,                 3.2091,                 3.9933,                 2.9973,                  2.844,                 4.5964,                 2.5855,                0.00604,                0.00604,                0.00604
                     43,                 3.1419,                 3.7294,                 2.7839,                  2.783,                 4.2062,                 2.3444,                0.13154,                0.09707,                0.00733,                0.00177,                  3.161,                 3.9256,                 2.9145,                 2.8019,                  4.525,                 2.5675,               0.005941,               0.005941,               0.005941
                     44,                  3.021,                 3.7212,                 2.7034,                 2.6519,                 4.1633,                 2.3006,                0.89492,                0.01601,                0.01052,                0.00238,                 3.2186,                 3.9259,                 2.9406,                 2.8581,                 4.5506,                 2.6227,               0.005842,               0.005842,               0.005842
                     45,                 3.1316,                 3.7742,                 2.8006,                 2.7245,                 4.2258,                  2.352,                0.38676,                0.04444,                0.00743,                0.00167,                  3.234,                 3.9855,                  2.977,                 2.8713,                 4.5767,                 2.6188,               0.005743,               0.005743,               0.005743
                     46,                 3.1101,                 3.7855,                 2.7863,                 2.7376,                 4.2771,                 2.3315,                0.76195,                0.01697,                0.00647,                0.00149,                  3.193,                 3.9573,                 2.9545,                 2.7792,                 4.5372,                 2.5659,               0.005644,               0.005644,               0.005644
                     47,                 3.0782,                 3.7099,                 2.7568,                 2.6976,                 4.1912,                 2.3022,                0.38842,                0.02921,                0.00786,                0.00172,                 3.1781,                  3.936,                 2.9061,                 2.7894,                 4.5613,                 2.5114,               0.005545,               0.005545,               0.005545
                     48,                  3.026,                 3.6272,                 2.7131,                 2.6771,                  4.095,                 2.2923,                0.38494,                 0.0401,                0.00829,                 0.0021,                 3.1387,                 3.9226,                 2.9271,                 2.7506,                 4.5433,                 2.5515,               0.005446,               0.005446,               0.005446
                     49,                 2.9879,                 3.6281,                 2.7187,                 2.6537,                 4.1433,                 2.2914,                0.51797,                 0.0153,                0.00942,                 0.0026,                 3.1435,                 3.9082,                 2.9265,                 2.7614,                 4.5098,                 2.5844,               0.005347,               0.005347,               0.005347
                     50,                 2.9905,                 3.6595,                 2.7583,                  2.618,                 4.1778,                 2.3176,                0.51913,                0.02032,                0.01126,                0.00286,                 3.0795,                 3.9155,                 2.9348,                 2.7193,                 4.5692,                 2.5572,               0.005248,               0.005248,               0.005248
                     51,                 3.0039,                 3.6208,                 2.6758,                 2.6839,                 4.0865,                 2.2377,                0.41843,                  0.016,                0.00975,                0.00251,                 3.0688,                 3.8458,                 2.8833,                 2.7081,                 4.4409,                 2.5081,               0.005149,               0.005149,               0.005149
                     52,                 3.0476,                 3.6427,                  2.747,                 2.6801,                 4.1168,                 2.3139,                0.25676,                 0.0519,                0.00838,                0.00202,                 3.1433,                 3.9504,                 2.9409,                 2.7436,                 4.5601,                 2.5357,                0.00505,                0.00505,                0.00505
                     53,                 3.0265,                 3.7399,                 2.7054,                 2.7243,                 4.2202,                 2.2645,                 0.5191,                0.00979,                0.00785,                0.00196,                 3.1205,                 3.9116,                 2.8651,                 2.7735,                 4.5221,                 2.4524,               0.004951,               0.004951,               0.004951
                     54,                 2.9537,                 3.6667,                 2.6984,                  2.663,                  4.143,                 2.2954,                0.39383,                0.02079,                0.01146,                0.00291,                 3.0862,                  3.869,                 2.8758,                 2.7329,                 4.4501,                 2.4773,               0.004852,               0.004852,               0.004852
                     55,                  2.966,                 3.6544,                 2.7012,                 2.6856,                 4.1188,                 2.2826,                0.51837,                0.02055,                0.01114,                0.00247,                 3.1068,                 3.8818,                 2.9315,                 2.7455,                 4.4931,                 2.5271,               0.004753,               0.004753,               0.004753
                     56,                 2.9726,                 3.5935,                 2.6882,                 2.6251,                  4.109,                 2.2503,                0.46872,                0.01818,                0.01207,                0.00292,                 3.0423,                 3.8089,                 2.8522,                 2.6711,                 4.3947,                  2.467,               0.004654,               0.004654,               0.004654
                     57,                 2.9489,                 3.6187,                 2.6665,                 2.6077,                 4.1212,                 2.2258,                0.79488,                0.00979,                0.00988,                0.00248,                 3.0575,                 3.8406,                 2.8358,                 2.7178,                 4.4344,                 2.4685,               0.004555,               0.004555,               0.004555
                     58,                  2.957,                 3.5788,                 2.6385,                 2.6162,                  4.066,                  2.231,                0.42439,                 0.0158,                0.01118,                0.00288,                 3.0404,                 3.7921,                 2.8245,                 2.6705,                 4.3966,                 2.4804,               0.004456,               0.004456,               0.004456
                     59,                 2.9138,                 3.5878,                 2.6314,                 2.5555,                 4.0265,                 2.2307,                0.42153,                0.01959,                0.01214,                0.00319,                 3.0448,                 3.7814,                 2.8129,                 2.6686,                 4.3665,                 2.4464,               0.004357,               0.004357,               0.004357
                     60,                 2.9761,                 3.5833,                 2.6296,                 2.6227,                 4.0332,                 2.2224,                0.36273,                0.02017,                 0.0127,                0.00316,                 3.0278,                 3.7861,                 2.7744,                 2.6865,                 4.3529,                 2.3984,               0.004258,               0.004258,               0.004258
                     61,                 2.8668,                 3.6003,                 2.6067,                 2.5797,                 4.0262,                 2.1959,                0.28345,                0.02623,                0.01166,                0.00325,                 3.0454,                 3.8358,                 2.8394,                 2.6765,                 4.3838,                 2.4396,               0.004159,               0.004159,               0.004159
                     62,                 2.8543,                 3.5585,                 2.6288,                 2.5411,                 4.0374,                 2.1934,                0.32207,                0.02133,                0.01382,                 0.0036,                 2.9771,                 3.7528,                 2.8047,                  2.623,                 4.3055,                 2.3894,                0.00406,                0.00406,                0.00406
                     63,                 2.9313,                 3.5034,                 2.6216,                 2.5968,                  3.987,                 2.1692,                 0.3313,                0.01989,                0.01178,                 0.0032,                 2.9877,                 3.7772,                 2.7984,                  2.608,                 4.3196,                 2.3654,               0.003961,               0.003961,               0.003961
                     64,                 2.8537,                 3.5086,                  2.589,                 2.5739,                 3.9514,                 2.1747,                0.33608,                 0.0153,                0.01083,                0.00311,                 3.0224,                 3.7979,                 2.8441,                 2.6353,                 4.3293,                 2.3898,               0.003862,               0.003862,               0.003862
                     65,                 2.8982,                 3.4989,                 2.6073,                 2.5038,                 3.9138,                 2.1531,                0.27363,                0.04191,                0.00972,                0.00253,                 3.0252,                 3.8255,                 2.8348,                 2.6425,                  4.396,                 2.4009,               0.003763,               0.003763,               0.003763
                     66,                 2.8929,                 3.5562,                 2.6189,                 2.5378,                 3.9714,                 2.2048,                0.32678,                0.01839,                0.01026,                0.00281,                  3.021,                 3.8258,                 2.8311,                 2.6773,                 4.3993,                 2.4534,               0.003664,               0.003664,               0.003664
                     67,                 2.8498,                  3.603,                 2.6075,                  2.482,                 3.9372,                 2.1564,                0.28971,                0.03035,                0.01178,                0.00312,                 2.9672,                 3.7685,                 2.7711,                 2.6244,                 4.3092,                 2.4029,               0.003565,               0.003565,               0.003565
                     68,                 2.8331,                 3.4632,                 2.5651,                 2.5132,                 3.9157,                 2.1849,                  0.303,                0.02402,                0.01234,                 0.0038,                 2.9748,                 3.7998,                 2.7866,                 2.6354,                 4.3201,                 2.3999,               0.003466,               0.003466,               0.003466
                     69,                  2.834,                 3.5352,                 2.5789,                 2.5417,                 3.9457,                 2.1796,                0.30408,                0.02322,                0.01464,                0.00446,                 2.9742,                 3.6951,                 2.7557,                 2.6011,                 4.1959,                 2.3679,               0.003367,               0.003367,               0.003367
                     70,                 2.8422,                 3.4809,                 2.5861,                 2.5387,                 3.9064,                 2.1688,                 0.3023,                0.02279,                0.01321,                0.00378,                 2.9695,                 3.7366,                 2.7707,                 2.6078,                 4.2356,                 2.3928,               0.003268,               0.003268,               0.003268
